id,ibpu_percentage,ibpa_percentage,tdc_percentage
2213,39.5,46.29,14.46
2214,62.96,59.87,17.36
2215,44.44,50.61,14.46
2216,58.02,57.4,14.46
2217,62.96,51.23,25.11
2218,64.19,48.76,30.9
2219,62.96,58.64,11.57
2220,48.14,51.23,23.14
2221,70.37,59.87,5.78
2222,77.77,61.11,20.25
2223,59.25,52.46,8.68
2224,49.38,51.85,17.36
2225,55.55,54.93,17.36
2226,60.49,58.64,33.91
2227,58.02,51.85,28.93
2228,55.55,57.4,34.02
2229,46.91,48.14,28.93
2230,62.96,56.17,20.25
2231,58.02,58.02,34.83
2232,48.14,53.7,5.78
2233,65.43,61.11,29.16
2234,59.25,50.61,33.79
2235,65.43,59.87,8.68
2236,51.85,60.49,17.36
2237,62.96,57.4,5.78
2238,56.79,48.76,45.6
2239,50.61,54.32,14.46
2240,58.02,53.08,14.46
2241,60.49,57.4,23.14
2242,48.14,53.7,7.75
2243,53.08,56.79,8.68
2244,50.61,55.55,20.25
2245,58.02,53.08,25.23
2246,55.55,51.23,23.14
2247,77.77,62.34,29.05
2248,75.3,63.58,23.14
2249,50.61,55.55,19.32
2250,55.55,56.79,20.37
2251,67.9,66.04,11.57
2252,58.02,50.61,23.26
2253,62.96,56.79,11.57
2254,62.96,54.93,29.16
2255,45.67,54.93,17.36
2256,62.96,56.17,11.57
2257,62.96,56.79,17.36
2258,60.49,60.49,20.25
2259,51.85,63.58,33.79
2260,40.74,53.7,8.68
2261,58.02,54.32,20.25
2262,70.37,53.08,23.26
2263,60.49,56.17,16.43
2264,72.83,66.66,19.32
2265,48.14,51.85,47.56
2266,56.79,54.32,20.25
2267,61.72,58.02,23.26
2268,58.02,59.87,34.83
2269,59.25,54.93,35.87
2270,61.72,61.11,17.36
2271,65.43,61.11,26.15
2272,56.79,55.55,25.11
2273,55.55,56.79,20.25
2274,43.2,46.29,25.11
2275,56.79,61.11,14.46
2276,64.19,59.25,7.75
2277,59.25,54.93,14.46
2278,59.25,50.0,17.36
2279,67.9,59.25,11.57
2280,58.02,52.46,8.68
2281,55.55,54.32,8.68
2282,54.32,52.46,17.36
2283,55.55,48.14,23.26
2284,75.3,66.04,28.12
2285,72.83,62.96,14.46
2286,62.96,52.46,11.57
2287,75.3,64.19,14.46
2288,46.91,53.08,17.36
2289,48.14,51.85,11.57
2290,70.37,59.87,16.43
2291,51.85,50.61,36.92
2292,55.55,52.46,28.12
2293,50.61,46.29,17.36
2294,70.37,66.66,14.46
2295,55.55,60.49,28.12
2296,53.08,57.4,14.46
2297,53.08,47.53,11.57
2298,53.08,57.4,20.25
2299,41.97,49.38,17.36
2300,65.43,62.34,17.36
2301,55.55,48.76,19.32
2302,58.02,62.96,22.22
2303,65.43,59.87,26.04
2304,54.32,47.53,23.14
2305,45.67,50.61,20.25
2306,65.43,66.04,26.15
2307,59.25,54.93,14.46
2308,65.43,58.02,11.57
2309,55.55,56.79,34.83
2310,50.61,51.85,26.15
2311,62.96,63.58,20.25
2312,69.13,57.4,20.25
2313,67.9,53.7,11.57
2314,65.43,49.38,19.32
2315,82.71,56.17,30.9
2316,75.3,62.96,13.54
2317,50.61,50.61,19.32
2318,70.37,68.51,17.36
2319,75.3,66.66,20.25
2320,51.85,58.02,8.68
2321,53.08,58.64,31.01
2322,45.67,45.67,11.57
2323,53.08,54.93,11.57
2324,64.19,63.58,17.36
2325,80.24,58.02,14.46
2326,46.91,48.14,20.25
2327,55.55,52.46,14.46
2328,54.32,48.76,22.22
2329,62.96,56.17,19.32
2330,50.61,51.85,26.04
2331,60.49,48.76,14.46
2332,62.96,56.79,5.78
2333,56.79,55.55,39.0
2334,53.08,54.93,13.54
2335,67.9,65.43,14.46
2336,54.32,51.85,16.43
2337,53.08,49.38,8.68
2338,54.32,48.14,20.37
2339,67.9,59.87,22.33
2340,46.91,59.87,20.25
2341,49.38,56.79,22.22
2342,40.74,48.76,26.15
2343,60.49,62.96,22.22
2344,60.49,56.17,42.82
2345,53.08,45.06,23.26
2346,67.9,58.02,34.83
2347,65.43,58.64,8.68
2348,56.79,50.61,42.59
2349,54.32,60.49,11.57
2350,82.71,62.96,14.46
2351,60.49,58.64,17.36
2352,53.08,53.7,19.44
2353,61.72,53.7,8.68
2354,44.44,50.61,28.0
2355,48.14,46.91,11.57
2356,59.25,44.44,26.15
2357,67.9,58.64,11.57
2358,49.38,53.7,34.95
2359,62.96,58.64,17.36
2360,56.79,52.46,31.01
2361,61.72,62.96,37.84
2362,59.25,56.79,11.57
2363,53.08,52.46,14.46
2364,54.32,59.25,22.22
2365,59.25,58.64,14.46
2366,70.37,61.72,29.05
2367,62.96,57.4,5.78
2368,53.08,60.49,17.36
2369,58.02,56.17,23.26
2370,54.32,61.72,8.68
2371,54.32,50.61,16.43
2372,58.02,59.25,11.57
2373,55.55,57.4,19.44
2374,65.43,55.55,20.25
2375,62.96,44.44,14.46
2376,64.19,60.49,8.68
2377,41.97,56.79,26.15
2378,67.9,52.46,16.43
2379,45.67,41.35,16.43
2380,49.38,58.02,20.25
2381,56.79,55.55,5.78
2382,46.91,49.38,25.23
2383,60.49,61.11,8.68
2384,50.61,53.08,23.14
2385,58.02,53.7,13.54
2386,51.85,46.91,22.33
2387,80.24,69.75,8.68
2388,53.08,62.34,14.46
2389,50.61,58.64,26.04
2390,60.49,51.23,42.59
2391,70.37,56.17,8.68
2392,54.32,48.14,19.32
2393,60.49,53.7,20.37
2394,67.9,55.55,34.83
2395,44.44,50.0,22.22
2396,53.08,57.4,22.22
2397,67.9,61.11,14.46
2398,44.44,49.38,8.68
2399,46.91,54.32,5.78
2400,54.32,56.17,35.87
2401,56.79,53.08,11.57
2402,67.9,60.49,11.57
2403,67.9,55.55,14.46
2404,51.85,54.32,26.27
2405,58.02,55.55,32.06
2406,55.55,53.7,25.23
2407,66.66,50.61,23.14
2408,80.24,57.4,20.25
2409,61.72,61.11,23.14
2410,55.55,61.11,11.57
2411,38.27,49.38,17.36
2412,64.19,58.64,28.12
2413,53.08,54.32,11.57
2414,54.32,44.44,28.12
2415,61.72,54.32,8.68
2416,59.25,51.85,5.78
2417,37.03,48.76,16.43
2418,43.2,53.08,13.54
2419,53.08,62.34,11.57
2420,70.37,62.96,27.19
2421,55.55,58.02,28.0
2422,66.66,60.49,14.46
2423,50.61,50.61,8.68
2424,69.13,56.79,14.46
2425,61.72,51.23,31.01
2426,51.85,58.64,14.46
2427,56.79,53.08,14.46
2428,55.55,55.55,11.57
2429,58.02,55.55,17.36
2430,54.32,50.61,11.57
2431,48.14,46.91,11.57
2432,50.61,51.85,31.01
2433,56.79,59.87,11.57
2434,66.66,63.58,39.81
2435,62.96,61.11,17.36
2436,58.02,53.08,26.04
2437,59.25,58.02,20.25
2438,61.72,66.04,26.15
2439,53.08,50.0,8.68
2440,60.49,59.25,11.57
2441,55.55,58.02,5.78
2442,60.49,53.7,5.78
2443,61.72,64.19,11.57
2444,56.79,58.64,14.46
2445,43.2,48.14,31.82
2446,53.08,61.11,8.68
2447,59.25,57.4,36.68
2448,59.25,48.76,41.78
2449,71.6,62.34,46.52
2450,70.37,61.72,23.26
2451,51.85,40.74,26.04
2452,56.79,54.32,23.26
2453,61.72,56.79,17.36
2454,66.66,57.4,10.64
2455,58.02,53.08,11.57
2456,70.37,51.23,17.36
2457,58.02,60.49,8.68
2458,62.96,62.34,20.25
2459,58.02,56.79,11.57
2460,62.96,60.49,14.46
2461,56.79,53.7,16.43
2462,51.85,42.59,28.12
2463,67.9,51.23,19.32
2464,48.14,46.29,11.57
2465,60.49,58.64,41.66
2466,65.43,64.81,22.33
2467,51.85,51.23,20.25
2468,64.19,52.46,17.36
2469,67.9,57.4,19.32
2470,70.37,53.08,28.12
2471,62.96,63.58,21.41
2472,55.55,52.46,38.77
2473,70.37,59.25,20.25
2474,75.3,67.9,16.43
2475,50.61,53.08,5.78
2476,67.9,62.96,14.46
2477,62.96,55.55,19.32
2478,43.2,50.0,28.12
2479,51.85,59.25,2.89
2480,62.96,54.93,17.36
2481,49.38,56.79,29.05
2482,54.32,53.08,8.68
2483,56.79,54.32,14.46
2484,50.61,57.4,20.37
2485,51.85,52.46,30.09
2486,72.83,67.28,35.99
2487,58.02,51.85,11.57
2488,72.83,55.55,17.36
2489,35.8,45.67,20.37
2490,53.08,55.55,8.68
2491,51.85,61.11,30.9
2492,46.91,50.0,17.47
2493,60.49,51.23,26.15
2494,58.02,50.61,14.46
2495,45.67,39.5,26.04
2496,50.61,50.61,23.26
2497,58.02,50.61,29.97
2498,54.32,50.61,33.91
2499,49.38,43.82,20.25
2500,53.08,53.7,43.63
2501,43.2,47.53,14.46
2502,65.43,62.96,28.24
2503,56.79,56.17,26.15
2504,58.02,56.17,39.69
2505,62.96,61.11,16.43
2506,48.14,49.38,26.15
2507,49.38,50.61,20.25
2508,49.38,47.53,13.54
2509,60.49,56.79,10.64
2510,54.32,50.61,17.36
2511,65.43,58.02,29.05
2512,62.96,54.93,14.46
2513,46.91,54.93,28.12
2514,60.49,49.38,50.46
2515,41.97,37.65,8.68
2516,55.55,56.79,11.57
2517,53.08,58.64,11.57
2518,60.49,56.17,14.46
2519,45.67,49.38,17.36
2520,75.3,56.79,2.89
2521,62.96,56.17,11.57
2522,55.55,58.64,28.0
2523,72.83,64.19,11.57
2524,56.79,56.79,25.11
2525,46.91,50.61,14.46
2526,53.08,54.93,25.23
2527,54.32,48.76,8.68
2528,50.61,54.93,8.68
2529,51.85,53.7,11.57
2530,43.2,59.87,11.57
2531,72.83,54.32,53.24
2532,70.37,59.25,14.46
2533,65.43,61.72,5.78
2534,61.72,58.02,14.46
2535,56.79,50.0,20.25
2536,62.96,54.32,11.57
2537,60.49,55.55,8.68
2538,60.49,59.87,32.98
2539,75.3,62.96,19.32
2540,65.43,59.87,11.57
2541,55.55,56.79,28.0
2542,54.32,56.17,29.05
2543,67.9,67.28,23.14
2544,53.08,46.29,39.81
2545,62.96,64.19,23.14
2546,51.85,46.29,14.46
2547,62.96,57.4,8.68
2548,61.72,57.4,19.32
2549,58.02,57.4,8.68
2550,50.61,44.44,23.26
2551,48.14,50.61,10.64
2552,55.55,51.23,14.46
2553,51.85,46.91,8.68
2554,54.32,46.29,11.57
2555,50.61,52.46,25.23
2556,60.49,58.02,8.68
2557,56.79,54.32,17.36
2558,65.43,58.02,5.78
2559,43.2,50.0,20.25
2560,55.55,59.87,10.64
2561,55.55,50.0,32.98
2562,53.08,51.85,14.46
2563,60.49,61.11,22.22
2564,59.25,57.4,31.94
2565,70.37,59.25,8.68
2566,55.55,54.32,25.11
2567,54.32,52.46,5.78
2568,70.37,67.9,13.54
2569,67.9,59.87,11.57
2570,60.49,52.46,11.57
2571,75.3,64.19,11.57
2572,60.49,56.17,14.46
2573,49.38,53.08,11.57
2574,65.43,58.02,59.02
2575,60.49,56.79,29.05
2576,72.83,54.93,17.36
2577,60.49,66.66,28.12
2578,69.13,66.66,14.46
2579,54.32,48.14,20.25
2580,50.61,54.32,22.22
2581,60.49,56.79,11.57
2582,58.02,54.93,14.46
2583,72.83,56.17,28.0
2584,56.79,61.11,5.78
2585,62.96,46.91,23.14
2586,70.37,58.64,23.26
2587,58.02,54.32,20.25
2588,67.9,52.46,23.14
2589,50.61,52.46,29.05
2590,60.49,58.64,14.46
2591,50.61,58.64,11.57
2592,56.79,61.72,35.87
2593,60.49,58.64,11.57
2594,60.49,53.7,11.57
2595,58.02,65.43,26.15
2596,61.72,56.17,16.43
2597,67.9,61.11,8.68
2598,58.02,58.64,23.26
2599,56.79,58.64,14.46
2600,53.08,53.7,22.22
2601,70.37,51.23,14.46
2602,67.9,56.79,13.54
2603,54.32,58.64,14.46
2604,65.43,54.93,8.68
2605,55.55,56.79,23.26
2606,51.85,50.0,11.57
2607,50.61,50.0,17.36
2608,62.96,54.93,26.04
2609,54.32,55.55,8.68
2610,61.72,61.11,5.78
2611,48.14,48.14,14.46
2612,62.96,61.11,11.57
2613,80.24,62.34,8.68
2614,44.44,50.0,23.14
2615,54.32,55.55,20.25
2616,54.32,45.67,16.43
2617,53.08,54.93,35.87
2618,48.14,52.46,23.26
2619,54.32,51.23,17.36
2620,55.55,52.46,10.64
2621,62.96,57.4,31.01
2622,49.38,46.29,11.57
2623,58.02,62.96,14.46
2624,66.66,62.34,22.22
2625,44.44,46.29,20.25
2626,70.37,63.58,7.75
2627,48.14,56.17,25.11
2628,62.96,59.87,31.01
2629,60.49,64.81,29.05
2630,60.49,56.79,23.14
2631,55.55,58.64,28.12
2632,60.49,54.93,17.36
2633,62.96,65.43,20.25
2634,54.32,50.61,11.57
2635,58.02,51.23,8.68
2636,55.55,54.93,13.54
2637,69.13,61.72,19.32
2638,51.85,62.34,20.25
2639,62.96,53.7,13.54
2640,49.38,51.23,28.12
2641,44.44,50.61,38.77
2642,45.67,56.79,20.25
2643,44.44,48.14,17.36
2644,54.32,54.32,11.57
2645,55.55,53.08,14.46
2646,62.96,56.79,23.14
2647,51.85,54.93,14.46
2648,46.91,56.79,20.25
2649,55.55,59.87,20.25
2650,61.72,66.66,23.26
2651,59.25,56.79,22.22
2652,67.9,64.81,33.91
2653,62.96,56.79,11.57
2654,48.14,54.93,17.36
2655,48.14,52.46,23.26
2656,54.32,50.0,20.37
2657,61.72,53.7,17.36
2658,61.72,51.23,26.04
2659,56.79,51.85,26.15
2660,45.67,47.53,32.98
2661,62.96,56.79,5.78
2662,35.8,43.2,52.19
2663,70.37,55.55,33.79
2664,61.72,51.23,20.25
2665,60.49,53.7,26.15
2666,50.61,48.14,33.91
2667,45.67,40.12,28.12
2668,72.83,64.19,18.4
2669,54.32,47.53,14.46
2670,60.49,61.11,31.94
2671,53.08,51.23,5.78
2672,65.43,53.7,26.15
2673,67.9,61.72,19.44
2674,51.85,51.23,14.46
2675,62.96,68.51,22.22
2676,65.43,56.17,14.46
2677,58.02,53.08,23.26
2678,64.19,48.76,8.68
2679,53.08,52.46,14.46
2680,67.9,63.58,8.68
2681,65.43,57.4,14.46
2682,48.14,53.08,5.78
2683,75.3,52.46,26.04
2684,53.08,53.7,34.83
2685,48.14,52.46,36.68
2686,44.44,53.08,20.25
2687,70.37,62.96,14.46
2688,67.9,61.11,26.04
2689,56.79,58.64,13.54
2690,54.32,53.08,20.25
2691,58.02,58.02,8.68
2692,55.55,47.53,26.04
2693,61.72,62.96,25.11
2694,51.85,52.46,17.47
2695,61.72,61.11,23.14
2696,54.32,47.53,8.68
2697,53.08,52.46,14.46
2698,59.25,61.11,16.43
2699,66.66,64.19,25.11
2700,62.96,53.7,25.23
2701,48.14,45.06,18.4
2702,58.02,51.85,17.36
2703,55.55,50.0,14.46
2704,58.02,56.79,23.26
2705,58.02,56.79,29.05
2706,66.66,57.4,39.69
2707,58.02,59.87,23.14
2708,64.19,51.23,22.22
2709,80.24,62.34,17.36
2710,59.25,49.38,22.33
2711,59.25,57.4,24.18
2712,46.91,43.82,39.81
2713,59.25,59.25,41.66
2714,55.55,54.93,17.36
2715,58.02,58.02,17.36
2716,53.08,50.61,14.46
2717,55.55,55.55,19.32
2718,61.72,57.4,22.22
2719,67.9,61.72,28.12
2720,62.96,57.4,36.92
2721,60.49,46.91,22.22
2722,55.55,51.23,36.8
2723,51.85,54.93,34.95
2724,76.54,60.49,35.87
2725,70.37,59.25,22.22
2726,56.79,49.38,25.23
2727,58.02,58.64,14.46
2728,67.9,54.32,14.46
2729,58.02,56.79,17.36
2730,66.66,50.0,26.15
2731,60.49,64.81,11.57
2732,59.25,51.23,20.25
2733,56.79,51.23,11.57
2734,59.25,53.08,34.83
2735,59.25,58.02,13.54
2736,55.55,52.46,23.26
2737,53.08,52.46,50.46
2738,53.08,52.46,11.57
2739,46.91,56.79,11.57
2740,50.61,50.0,23.26
2741,65.43,59.87,40.62
2742,56.79,53.7,11.57
2743,48.14,45.67,20.25
2744,64.19,61.11,29.05
2745,70.37,54.32,8.68
2746,56.79,48.76,28.12
2747,51.85,50.61,13.54
2748,55.55,55.55,14.46
2749,60.49,62.96,23.14
2750,60.49,64.81,25.23
2751,53.08,60.49,11.57
2752,55.55,59.25,8.68
2753,62.96,58.64,35.99
2754,65.43,56.79,26.15
2755,55.55,57.4,20.25
2756,65.43,61.72,31.01
2757,60.49,56.79,22.22
2758,62.96,56.17,11.57
2759,48.14,48.14,14.46
2760,69.13,59.87,27.19
2761,59.25,55.55,14.46
2762,61.72,51.85,20.25
2763,65.43,59.87,8.68
2764,58.02,54.32,17.36
2765,58.02,55.55,11.57
2766,58.02,58.02,34.02
2767,50.61,51.85,16.43
2768,61.72,62.34,35.99
2769,60.49,64.19,51.62
2770,60.49,60.49,5.78
2771,64.19,59.25,4.86
2772,60.49,50.0,17.36
2773,54.32,56.79,35.87
2774,54.32,53.7,20.25
2775,62.96,54.93,10.64
2776,48.14,51.23,16.43
2777,62.96,53.7,17.36
2778,53.08,56.79,17.36
2779,58.02,58.02,14.46
2780,55.55,53.08,8.68
2781,62.96,53.7,23.14
2782,58.02,59.87,23.14
2783,70.37,56.79,14.46
2784,48.14,58.64,17.36
2785,58.02,57.4,28.12
2786,62.96,59.25,40.74
2787,44.44,46.29,27.08
2788,70.37,62.96,17.36
2789,62.96,49.38,20.25
2790,53.08,59.25,39.69
2791,60.49,53.08,14.46
2792,70.37,56.79,33.91
2793,64.19,53.08,26.04
2794,55.55,51.85,11.57
2795,65.43,43.82,13.54
2796,72.83,59.87,16.43
2797,59.25,54.32,8.68
2798,50.61,49.38,5.78
2799,62.96,57.4,20.25
2800,72.83,60.49,14.46
2801,59.25,48.76,8.68
2802,53.08,53.08,30.09
2803,51.85,61.72,26.04
2804,56.79,53.7,23.14
2805,58.02,63.58,17.36
2806,53.08,53.08,11.57
2807,61.72,54.32,29.05
2808,62.96,53.08,33.91
2809,70.37,59.25,19.32
2810,56.79,50.61,23.14
2811,69.13,58.02,20.25
2812,49.38,46.29,17.36
2813,70.37,59.87,17.36
2814,59.25,54.93,8.68
2815,58.02,51.23,14.46
2816,58.02,53.7,20.25
2817,50.61,55.55,17.36
2818,60.49,58.64,17.36
2819,53.08,57.4,17.36
2820,50.61,59.25,30.09
2821,53.08,56.17,11.57
2822,60.49,59.25,38.77
2823,55.55,51.23,14.46
2824,51.85,53.08,22.22
2825,67.9,55.55,63.42
2826,44.44,48.14,20.25
2827,56.79,54.32,2.89
2828,62.96,59.87,2.89
2829,40.74,49.38,13.54
2830,54.32,53.7,33.91
2831,50.61,41.35,19.32
2832,46.91,51.23,23.26
2833,56.79,48.14,14.46
2834,55.55,54.32,8.68
2835,58.02,58.02,14.46
2836,54.32,51.23,27.19
2837,51.85,49.38,31.01
2838,62.96,59.25,39.81
2839,58.02,54.32,8.68
2840,70.37,59.25,29.05
2841,59.25,53.08,31.01
2842,53.08,55.55,8.68
2843,45.67,51.23,14.46
2844,54.32,53.7,31.01
2845,43.2,48.76,19.32
2846,64.19,53.7,11.57
2847,58.02,52.46,8.68
2848,66.66,54.32,8.68
2849,60.49,59.87,20.25
2850,48.14,60.49,23.14
2851,61.72,59.87,13.54
2852,58.02,56.79,32.98
2853,65.43,55.55,33.79
2854,65.43,61.11,20.25
2855,51.85,51.23,14.46
2856,53.08,52.46,33.79
2857,61.72,60.49,51.38
2858,71.6,66.66,26.04
2859,49.38,56.17,33.91
2860,62.96,64.81,33.79
2861,56.79,51.85,23.26
2862,53.08,56.79,19.32
2863,60.49,61.11,34.95
2864,65.43,59.87,29.16
2865,65.43,64.81,11.57
2866,55.55,52.46,20.25
2867,50.61,51.85,22.33
2868,44.44,48.14,5.78
2869,56.79,53.7,23.14
2870,61.72,62.34,17.36
2871,46.91,50.61,8.68
2872,45.67,51.23,8.68
2873,62.96,60.49,17.36
2874,55.55,53.08,11.57
2875,62.96,53.08,23.14
2876,48.14,48.76,22.33
2877,51.85,54.32,26.15
2878,45.67,49.38,17.36
2879,55.55,48.14,14.46
2880,66.66,56.79,8.68
2881,59.25,51.23,36.8
2882,55.55,53.08,20.25
2883,60.49,51.23,22.22
2884,61.72,59.25,14.46
2885,55.55,54.93,11.57
2886,62.96,59.25,23.14
2887,58.02,54.32,20.25
2888,66.66,44.44,20.25
2889,49.38,48.14,23.14
2890,67.9,57.4,23.14
2891,55.55,50.0,14.46
2892,48.14,58.02,14.46
2893,59.25,58.02,14.46
2894,48.14,50.0,33.91
2895,80.24,61.11,14.46
2896,56.79,57.4,17.36
2897,67.9,59.25,26.04
2898,50.61,52.46,20.25
2899,67.9,55.55,20.37
2900,65.43,64.19,11.57
2901,65.43,56.79,11.57
2902,54.32,54.32,5.78
2903,53.08,48.14,18.4
2904,55.55,55.55,14.46
2905,55.55,51.23,28.93
2906,41.97,50.0,8.68
2907,56.79,50.0,31.01
2908,59.25,57.4,5.78
2909,54.32,58.64,11.57
2910,58.02,57.4,23.14
2911,62.96,54.32,17.36
2912,58.02,49.38,10.64
2913,60.49,60.49,11.57
2914,46.91,55.55,29.05
2915,61.72,53.7,5.78
2916,53.08,54.32,26.04
2917,65.43,59.87,23.37
2918,61.72,59.25,26.15
2919,60.49,63.58,26.04
2920,65.43,56.79,23.14
2921,49.38,52.46,8.68
2922,51.85,51.23,20.25
2923,56.79,57.4,5.78
2924,72.83,42.59,28.93
2925,53.08,53.08,20.25
2926,55.55,51.23,21.29
2927,55.55,54.32,14.46
2928,67.9,66.66,14.46
2929,59.25,59.25,5.78
2930,56.79,58.64,20.25
2931,62.96,59.87,14.46
2932,65.43,58.02,20.25
2933,60.49,53.7,20.37
2934,43.2,42.59,20.37
2935,65.43,59.25,16.43
2936,55.55,60.49,25.11
2937,46.91,50.61,14.46
2938,62.96,62.96,20.37
2939,51.85,53.08,14.46
2940,50.61,48.14,30.9
2941,62.96,43.2,11.57
2942,50.61,58.02,23.26
2943,59.25,62.96,14.46
2944,80.24,67.28,20.25
2945,59.25,56.79,28.12
2946,40.74,47.53,25.23
2947,56.79,55.55,35.87
2948,58.02,52.46,20.25
2949,58.02,58.02,5.78
2950,56.79,57.4,14.46
2951,60.49,51.23,20.25
2952,59.25,58.02,20.25
2953,46.91,48.14,25.23
2954,61.72,48.14,29.05
2955,48.14,48.14,17.36
2956,45.67,55.55,17.47
2957,58.02,60.49,8.68
2958,43.2,50.0,17.36
2959,53.08,56.17,17.36
2960,58.02,50.0,23.14
2961,60.49,54.32,22.22
2962,51.85,54.93,14.46
2963,58.02,56.17,22.22
2964,48.14,45.06,28.0
2965,45.67,51.85,20.25
2966,49.38,54.93,26.04
2967,58.02,54.32,29.16
2968,67.9,62.34,31.01
2969,58.02,62.34,11.57
2970,55.55,61.11,11.57
2971,59.25,56.17,34.02
2972,50.61,46.29,2.89
2973,53.08,52.46,22.33
2974,58.02,53.7,14.46
2975,67.9,65.43,17.47
2976,54.32,59.25,11.57
2977,56.79,56.17,23.26
2978,48.14,50.0,19.32
2979,41.97,47.53,13.54
2980,55.55,53.08,28.12
2981,46.91,55.55,26.04
2982,65.43,56.17,26.04
2983,65.43,52.46,20.25
2984,53.08,64.81,23.14
2985,43.2,49.38,28.12
2986,54.32,55.55,5.78
2987,49.38,54.32,16.43
2988,72.83,61.11,23.26
2989,77.77,64.19,5.78
2990,49.38,54.32,22.33
2991,65.43,67.9,20.25
2992,53.08,48.76,20.25
2993,60.49,54.93,24.18
2994,65.43,60.49,9.72
2995,70.37,64.81,14.46
2996,49.38,56.79,17.36
2997,67.9,64.19,11.57
2998,53.08,53.7,14.46
2999,59.25,59.25,11.57
3000,62.96,61.72,8.68
3001,51.85,53.7,17.36
3002,53.08,53.08,20.25
3003,71.6,59.25,8.68
3004,58.02,61.11,11.57
3005,49.38,41.35,31.01
3006,59.25,51.23,2.89
3007,49.38,50.0,25.11
3008,62.96,60.49,26.15
3009,46.91,51.85,40.74
3010,50.61,45.67,11.57
3011,53.08,62.34,20.25
3012,58.02,52.46,8.68
3013,58.02,44.44,48.61
3014,64.19,56.17,11.57
3015,62.96,54.93,27.08
3016,67.9,56.17,17.47
3017,48.14,53.7,8.68
3018,49.38,48.76,17.36
3019,61.72,45.67,8.68
3020,49.38,56.17,28.0
3021,51.85,58.64,28.93
3022,60.49,48.76,25.23
3023,46.91,46.91,33.91
3024,55.55,46.29,2.89
3025,58.02,59.25,37.73
3026,61.72,59.25,28.12
3027,53.08,55.55,22.33
3028,60.49,61.72,17.36
3029,59.25,50.61,25.11
3030,59.25,55.55,28.12
3031,64.19,58.64,17.36
3032,55.55,57.4,31.13
3033,50.61,47.53,39.69
3034,56.79,62.34,14.46
3035,60.49,48.14,21.29
3036,58.02,58.02,34.02
3037,59.25,41.97,8.68
3038,66.66,56.79,17.36
3039,58.02,58.02,34.02
3040,58.02,54.32,14.46
3041,62.96,48.14,33.91
3042,81.48,62.34,39.58
3043,72.83,61.72,8.68
3044,60.49,53.7,20.25
3045,60.49,56.17,8.68
3046,75.3,56.79,20.25
3047,50.61,46.91,11.57
3048,62.96,56.17,39.81
3049,58.02,62.34,19.32
3050,60.49,58.02,28.93
3051,60.49,49.38,11.57
3052,54.32,44.44,10.64
3053,58.02,50.61,20.25
3054,70.37,58.64,25.23
3055,40.74,51.23,11.57
3056,46.91,54.32,33.91
3057,49.38,57.4,19.32
3058,67.9,62.96,14.46
3059,55.55,48.14,8.68
3060,62.96,59.87,13.54
3061,51.85,57.4,14.46
3062,53.08,55.55,20.25
3063,39.5,48.76,50.46
3064,65.43,53.08,14.46
3065,59.25,52.46,22.22
3066,58.02,62.34,11.57
3067,53.08,61.11,17.47
3068,70.37,60.49,26.15
3069,61.72,52.46,2.89
3070,69.13,60.49,23.26
3071,43.2,40.12,17.36
3072,51.85,47.53,10.64
3073,46.91,45.06,51.5
3074,62.96,56.79,16.43
3075,56.79,53.7,16.43
3076,58.02,52.46,28.12
3077,41.97,53.08,19.32
3078,59.25,56.79,11.57
3079,58.02,56.79,29.05
3080,60.49,61.72,14.46
3081,53.08,58.02,25.23
3082,56.79,54.32,20.25
3083,72.83,62.34,23.14
3084,48.14,48.76,25.11
3085,54.32,53.08,17.36
3086,62.96,46.29,17.36
3087,49.38,62.96,14.46
3088,53.08,56.79,14.46
3089,56.79,56.17,14.46
3090,54.32,51.85,20.37
3091,53.08,38.27,24.18
3092,43.2,46.91,23.26
3093,49.38,57.4,20.25
3094,55.55,46.91,14.46
3095,50.61,47.53,14.46
3096,51.85,53.7,11.57
3097,54.32,50.61,11.57
3098,70.37,58.64,14.46
3099,60.49,54.32,23.14
3100,50.61,53.08,28.12
3101,67.9,67.28,39.93
3102,45.67,48.76,17.36
3103,62.96,61.72,26.15
3104,54.32,58.02,17.36
3105,60.49,58.64,25.11
3106,49.38,54.93,8.68
3107,50.61,48.14,11.57
3108,49.38,54.93,37.03
3109,67.9,58.02,34.83
3110,62.96,64.81,16.43
3111,39.5,52.46,17.36
3112,65.43,56.17,51.62
3113,55.55,59.87,36.8
3114,81.48,54.32,22.22
3115,60.49,51.85,19.32
3116,60.49,60.49,23.14
3117,50.61,54.93,25.23
3118,53.08,59.25,17.36
3119,72.83,58.02,14.46
3120,56.79,53.7,11.57
3121,50.61,51.85,8.68
3122,55.55,56.79,26.15
3123,53.08,55.55,33.79
3124,61.72,54.93,37.03
3125,53.08,55.55,22.33
3126,65.43,59.87,31.13
3127,44.44,48.76,11.57
3128,55.55,51.23,30.09
3129,46.91,48.14,8.68
3130,58.02,53.08,7.75
3131,62.96,54.32,19.32
3132,45.67,52.46,11.57
3133,50.61,55.55,11.57
3134,55.55,53.7,8.68
3135,41.97,49.38,19.32
3136,43.2,44.44,13.54
3137,65.43,57.4,33.91
3138,54.32,58.64,28.0
3139,61.72,53.08,8.68
3140,75.3,59.25,20.25
3141,51.85,59.87,8.68
3142,53.08,59.25,31.01
3143,53.08,48.14,11.57
